Case #1: Volunteer cheated!
Case #2: Volunteer cheated!
Case #3: Volunteer cheated!
Case #4: 2
Case #5: Volunteer cheated!
Case #6: Bad magician!
Case #7: Volunteer cheated!
Case #8: Bad magician!
Case #9: Volunteer cheated!
Case #10: Volunteer cheated!
Case #11: Bad magician!
Case #12: 12
Case #13: Bad magician!
Case #14: 4
Case #15: 15
Case #16: 11
Case #17: Bad magician!
Case #18: Volunteer cheated!
Case #19: Bad magician!
Case #20: 3
Case #21: Volunteer cheated!
Case #22: Volunteer cheated!
Case #23: 15
Case #24: Bad magician!
Case #25: 6
Case #26: Bad magician!
Case #27: 15
Case #28: Bad magician!
Case #29: Bad magician!
Case #30: 14
Case #31: Volunteer cheated!
Case #32: Volunteer cheated!
Case #33: 12
Case #34: 7
Case #35: Volunteer cheated!
Case #36: Volunteer cheated!
Case #37: 2
Case #38: Bad magician!
Case #39: 1
Case #40: Bad magician!
Case #41: Bad magician!
Case #42: Bad magician!
Case #43: Volunteer cheated!
Case #44: Bad magician!
Case #45: 15
Case #46: Volunteer cheated!
Case #47: 8
Case #48: Volunteer cheated!
Case #49: Volunteer cheated!
Case #50: Bad magician!
Case #51: Volunteer cheated!
Case #52: Bad magician!
Case #53: 11
Case #54: Bad magician!
Case #55: Volunteer cheated!
Case #56: 9
Case #57: Bad magician!
Case #58: 13
Case #59: 12
Case #60: 3
Case #61: 6
Case #62: 10
Case #63: 8
Case #64: Bad magician!
Case #65: 13
Case #66: Volunteer cheated!
Case #67: Bad magician!
Case #68: Volunteer cheated!
Case #69: 7
Case #70: 2
Case #71: 12
Case #72: Bad magician!
Case #73: 6
Case #74: Bad magician!
Case #75: Bad magician!
Case #76: Bad magician!
Case #77: Volunteer cheated!
Case #78: 9
Case #79: Volunteer cheated!
Case #80: Volunteer cheated!
Case #81: Bad magician!
Case #82: 14
Case #83: Volunteer cheated!
Case #84: 2
Case #85: Bad magician!
Case #86: Volunteer cheated!
Case #87: Volunteer cheated!
Case #88: Volunteer cheated!
Case #89: Bad magician!
Case #90: Volunteer cheated!
Case #91: Bad magician!
Case #92: Volunteer cheated!
Case #93: 3
Case #94: Volunteer cheated!
Case #95: Volunteer cheated!
Case #96: 12
Case #97: Bad magician!
Case #98: Bad magician!
Case #99: 5
Case #100: 11
